SPEED,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,ACCELERATION
119.804,4.03619,4.165769999999999,4.44344,4.92096,5.7078,7.04909,9.59552,15.7724,48.3986,65.5319,22.7574,14.0275,10.366,8.42326,7.280069999999999,6.586310000000001,6.18485,6.00139,1
80.7945,2.09515,2.05461,2.08174,2.1814299999999998,2.37332,2.70333,3.2811,4.43839,8.72316,37.0941,25.2721,19.7336,15.8288,13.0741,11.1663,9.85517,8.96776,8.39327,1
54.3315,0.571589,0.5899989999999999,0.630724,0.7024020000000001,0.824652,1.04798,1.56293,20.5331,18.1361,16.246,14.5847,13.1788,12.0293,11.1203,10.429,9.93239,9.611189999999999,9.451889999999999,1
59.9801,7.73239,8.226280000000001,9.01036,10.0302,11.3119,12.8683,14.6822,16.6979,18.8228,20.9399,23.6171,4.439369999999999,3.58693,3.0878400000000004,2.78495,2.60835,2.52495,2.52095,1
126.07600000000001,2.89793,2.94542,3.0899400000000004,3.3566199999999995,3.8000599999999998,4.53734,5.850140000000001,8.59954,17.2113,136.22,39.6942,20.4643,14.0739,10.979000000000001,9.2298,8.17565,7.543310000000001,7.204969999999999,1
136.91899999999998,3.69025,3.7541800000000003,3.94095,4.28244,4.84711,5.77966,7.4187899999999996,10.7353,19.6802,57.3445,57.9156,19.1083,12.6891,9.7986,8.205869999999999,7.257969999999999,6.6943399999999995,6.39621,0
114.17299999999999,3.86015,3.95246,4.17939,4.58165,5.24597,6.361669999999999,8.4045,12.9599,25.8119,54.4804,92.9923,15.9529,11.3757,9.06151,7.724760000000001,6.914789999999999,6.4355400000000005,6.19444,1
102.775,5.09764,5.2219,5.52442,6.05958,6.94313,8.428139999999999,11.1523,17.2529,30.5621,37.6721,22.0944,12.6478,9.05246,7.219539999999999,6.15952,5.51711,5.13739,4.94722,1
135.079,6.8385,6.93576,7.25357,7.84386,8.81808,10.4051,13.1111,18.2277,29.7382,62.0469,25.8527,9.836310000000001,6.49411,4.989,4.16109,3.66795,3.3729699999999996,3.21365,1
55.0773,7.052510000000001,7.21465,7.53038,8.0213,8.72027,9.67132,11.056,33.9154,29.8264,24.9854,19.5429,13.8185,8.41319,4.90232,3.8407699999999996,3.34363,3.08853,2.98378,1
116.605,4.04063,4.081,4.2527099999999995,4.58493,5.1429599999999995,6.0654900000000005,7.67552,10.9,19.8357,64.0772,42.2958,19.0337,12.5938,9.628589999999999,7.9901,7.01019,6.418080000000001,6.0888,1
111.094,3.49601,3.57378,3.77231,4.1269800000000005,4.71333,5.69561,7.4823,11.4073,25.3796,61.4888,32.7212,17.2449,12.2215,9.69255,8.23818,7.35772,6.834910000000001,6.56778,1
98.8038,2.31901,2.31067,2.37708,2.52993,2.79977,3.25418,4.0559400000000005,5.7163,12.5694,39.9575,28.3302,20.4515,15.5236,12.466,10.5254,9.27032,8.46359,7.9748600000000005,0
66.8177,0.9772489999999999,0.98975,1.03498,1.12099,1.26578,1.50874,1.94792,2.9129400000000003,24.4447,21.8678,19.2996,16.8824,14.7263,12.894,11.3992,10.2811,9.56879,9.166889999999999,1
111.58,4.5007,4.49763,4.6353,4.9364,5.45665,6.3139199999999995,7.77089,10.5742,61.4238,43.7431,28.8695,18.7377,12.9154,9.67417,7.8342600000000004,6.754739999999999,6.0995800000000004,5.7186699999999995,1
119.235,3.29869,3.30703,3.4195800000000003,3.6550300000000004,4.05771,4.7213199999999995,5.85719,8.034180000000001,13.9575,45.6018,31.5398,21.4043,15.1396,11.4635,9.3554,8.11035,7.354989999999999,6.920719999999999,0
56.3225,7.63822,7.75793,8.031089999999999,8.4745,9.11469,9.98757,11.1356,12.6002,15.5075,33.7038,28.408,21.8301,13.1585,4.11981,3.18296,2.73828,2.50165,2.38994,1
122.16,4.36275,4.49686,4.789630000000001,5.29526,6.12845,7.54484,10.2165,16.5982,48.1157,67.3266,22.105,13.4681,9.90052,8.01983,6.916189999999999,6.24639,5.85712,5.67587,1
70.6843,8.100530000000001,8.26945,8.71604,9.51937,10.8489,13.0718,17.0331,24.5865,40.2068,69.8487,9.36388,5.14115,3.6190599999999997,2.8593900000000003,2.4241900000000003,2.16095,2.00422,1.9231599999999998,1
59.9298,6.46471,6.56537,6.808669999999999,7.21295,7.80864,8.63963,9.76244,11.3849,14.1634,19.5205,33.0085,87.9701,19.658,7.59806,5.06643,4.20252,3.77909,3.5812699999999995,1
160.159,7.403460000000001,7.52725,7.89934,8.584539999999999,9.7234,11.6176,14.9943,22.0841,44.45399999999999,200.0,14.3665,7.44495,5.1295,4.00546,3.3694800000000003,2.9860900000000004,2.75622,2.63351,1
119.241,6.979610000000001,7.182589999999999,7.6223600000000005,8.370519999999999,9.56996,11.5071,14.7945,20.8458,32.8355,55.1282,15.319,7.71679,5.47164,4.372730000000001,3.74685,3.37256,3.1567,3.0565599999999997,1
143.737,5.03015,5.10764,5.35273,5.80789,6.5657,7.82435,10.0581,14.7021,28.9468,106.522,28.6407,14.5359,9.94187,7.732880000000001,6.48836,5.73911,5.28905,5.04663,1
110.056,5.03526,5.16706,5.47682,6.0207,6.91788,8.43027,11.2255,17.5934,30.02,43.0198,22.2704,12.5236,9.03514,7.238739999999999,6.19522,5.56237,5.18991,5.00678,1
141.343,6.28795,6.42851,6.786410000000001,7.42543,8.481810000000001,10.2518,13.4725,20.5547,46.3005,96.7981,17.5869,9.83645,6.97468,5.53304,4.70372,4.20162,3.90354,3.7513900000000002,1
140.096,3.97485,4.05032,4.25916,4.63715,5.26077,6.2918199999999995,8.111310000000001,11.8207,21.9338,63.2502,44.0711,17.6788,11.9027,9.2476,7.773219999999999,6.89355,6.371580000000001,6.09897,1
80.7869,8.27811,8.430010000000001,8.861880000000001,9.64551,10.9145,12.9553,16.3768,22.5814,34.8961,59.1128,9.58878,4.82602,3.3519300000000003,2.62984,2.21919,1.97127,1.8230099999999998,1.74479,1
148.363,5.03015,5.1075800000000005,5.3526,5.80767,6.565339999999999,7.823739999999999,10.057,14.6994,28.936,98.4828,28.6514,14.5385,9.943,7.73348,6.48872,5.739319999999999,5.2891699999999995,5.04669,1
175.10299999999998,2.5375799999999997,2.5815900000000003,2.71097,2.9483099999999998,3.3425,3.99862,5.17071,7.64343,15.5544,86.9977,40.5258,21.199,14.6552,11.4646,9.6558,8.56476,7.91122,7.56388,1
122.82700000000001,5.31686,5.35773,5.56625,5.9762900000000005,6.66352,7.79318,9.74041,13.5329,23.3227,50.8505,39.5513,16.1588,10.3512,7.788530000000001,6.3988,5.57474,5.0797300000000005,4.80273,1
146.505,4.12973,4.18381,4.372380000000001,4.72714,5.3169900000000005,6.28671,7.967339999999999,11.2686,19.6161,76.1413,47.5827,19.0893,12.3143,9.38108,7.78948,6.84665,6.28281,5.97617,1
124.529,4.6691400000000005,4.80658,5.11241,5.64291,6.5172,7.99972,10.7793,17.3257,47.8207,69.4539,21.4718,12.9312,9.45697,7.63714,6.572139999999999,5.92583,5.54876,5.37022,1
